director,director,director,director,director,director,producer,producer,producer,producer,producer,producer,cast,cast,cast,cast,cast,cast,writer,writer,writer,writer,writer,writer,music,music,music,music,music,music,cinematography,cinematography,cinematography,cinematography,cinematography,cinematography,editing,editing,editing,editing,editing,editing,major,time,budget,box_office,profit,title,nom
o_n,b_n,g_n,o_w,b_w,g_w,o_n,b_n,g_n,o_w,b_w,g_w,o_n,b_n,g_n,o_w,b_w,g_w,o_n,b_n,g_n,o_w,b_w,g_w,o_n,b_n,g_n,o_w,b_w,g_w,o_n,b_n,g_n,o_w,b_w,g_w,o_n,b_n,g_n,o_w,b_w,g_w,,,,,,,
2,7,2,0,0,0,0,0,0,0,0,0,6,4,6,0,1,1,0,0,0,0,0,0,3,4,0,0,1,0,2,6,0,1,3,0,0,0,0,0,0,0,0,137.0,,,,Equus,1
0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.0,,,,Shatranj Ke Khilari,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0,,,,"Elisa, vida mía",0
0,0,1,0,0,1,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,109.0,5500000.0,35400000.0,29900000.0,The Gauntlet,0
0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,119.0,9000000.0,8234000.0,-766000.0,Rollercoaster,0
0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,1,2,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.0,,,,Portrait of a Hitman,0
1,0,1,0,0,0,1,0,0,1,0,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,0,6,0,0,2,0,0,1,92.0,6000000.0,14700000.0,8700000.0,Orca: The Killer Whale,0
1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,,,,The Lorry,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,8,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,91.0,8000000.0,4000000.0,-4000000.0,Damnation Alley,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.0,1000000.0,,,Pumping Iron,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.0,,,,House,0
9,5,10,4,2,3,0,0,0,0,0,0,7,6,14,2,0,5,1,0,0,0,0,0,2,1,2,0,0,0,1,7,0,0,2,0,1,2,0,0,2,0,0,118.0,7840000.0,20700000.0,12860000.0,Julia,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.0,,,,I nuovi mostri,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.0,,,,Office Romance,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.0,,,,"One Sings, the Other Doesn't",0
0,3,2,0,1,0,0,0,0,0,0,0,4,9,4,1,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.0,,,,Providence,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,98.0,,51061196.0,,"Oh, God!",1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.0,6600000.0,,,Roots,0
0,0,0,0,0,0,0,0,0,0,0,0,3,1,6,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,1,106.0,5000000.0,,,Viva Knievel!,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,92.0,,,,Thieves,0
3,1,1,1,0,0,3,1,1,1,0,0,6,2,12,2,1,2,3,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.0,4015000.0,31100000.0,27085000.0,High Anxiety,0
3,2,3,0,0,2,3,2,3,0,0,2,0,0,0,0,0,0,3,2,3,0,0,2,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.0,,,,Iphigenia,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.0,,,,Charleston,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127.0,,,,The American Friend (Der amerikanische Freund),0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.0,4000000.0,38300000.0,34300000.0,Annie Hall,1
0,0,0,0,0,0,0,0,0,0,0,0,19,3,13,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,102.0,750000.0,3000000.0,2250000.0,Tentacles,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,2000000.0,9000000.0,7000000.0,Wizards,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,96.0,,,,Scott Joplin,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.0,,,,Ceddo,0
0,0,2,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,6,1,3,0,0,1,11,1,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,143.0,8000000.0,15800000.0,7800000.0,Black Sunday,0
0,0,0,0,0,0,0,0,0,0,0,0,2,7,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.0,,,,Madame Rosa,1
0,0,0,0,0,0,0,0,0,0,0,0,4,2,8,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.0,,,,An Average Little Man (Un borghese piccolo piccolo),0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,,,,The King of the Street Cleaners,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.0,,,,Chinatown Kid,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.0,,,,Padre Padrone,0
0,0,0,0,0,0,0,0,0,0,0,0,8,5,15,2,1,5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,85.0,4000000.0,,,The Last Remake of Beau Geste,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.0,,,,Rock'n'Roll Wolf,0
3,2,4,0,0,0,0,0,0,0,0,0,5,2,9,0,0,1,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.0,,,,Opening Night,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,112.0,3200000.0,33500000.0,30300000.0,Heroes,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,,,,J.A. Martin Photographer,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Plae Kao (The Scar),0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.0,3000000.0,3200000.0,200000.0,I Never Promised You a Rose Garden,1
0,0,0,0,0,0,0,0,0,0,0,0,3,5,5,1,2,1,0,0,0,0,0,0,4,0,5,2,0,1,1,2,0,1,1,0,0,0,0,0,0,0,1,104.0,8000000.0,3243088.0,-4756912.0,March or Die,0
0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,0,0,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,110.0,,102000000.0,,The Goodbye Girl,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99.0,,,,The Bad News Bears in Breaking Training,0
2,1,2,1,0,2,2,1,2,1,0,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,121.0,21000000.0,5900000.0,-15100000.0,Sorcerer,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,95.0,5000000.0,,,Rolling Thunder,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.0,,,,The Wishing Tree,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.0,,,,Black Joy,0
0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,106.0,,,,Wifemistress,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,105.0,,,,Jabberwocky,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.0,,,,Dot and the Kangaroo,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0,,7000000.0,,Eraserhead,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.0,,,,That's Carry On!,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,105.0,,,,Fraternity Row,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,,,,Short Eyes,0
0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,2,2,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,120.0,,,,Double Murder,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.0,,,,Amar Akbar Anthony,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.0,,,,"Mama, I'm Alive",0
0,0,0,0,0,0,0,0,0,0,0,0,16,2,13,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.0,,,,The Hobbit,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85.0,,,,Prey,0
3,1,3,0,0,0,3,1,3,0,0,0,0,1,0,0,0,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.0,1700000.0,,,3 Women,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,5,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,91.0,3000000.0,9400000.0,6400000.0,First Love,0
8,1,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,8,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,136.0,2500000.0,22500000.0,20000000.0,Looking for Mr. Goodbar,1
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.0,,,,Rabid,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.0,,,,The Picture Show Man,0
10,3,10,1,2,1,10,3,10,1,2,1,8,3,7,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,97.0,6000000.0,,,The Domino Principle,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.0,,,,Speedtrap,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.0,,,,The Report,0
4,0,1,0,0,0,3,1,3,0,0,0,2,1,4,1,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,93.0,,,,The Late Show,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.0,,,,Rembrandt fecit 1669,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111.0,,,,The Ascent,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.0,,,,The Iron-Fisted Monk,0
1,0,0,0,0,0,0,0,0,0,0,0,4,5,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,135.0,6000000.0,,,The Eagle Has Landed,0
0,0,0,0,0,0,0,0,0,0,0,0,5,2,5,1,1,2,0,0,0,0,0,0,8,2,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,146.0,6200000.0,4500000.0,-1700000.0,Twilight's Last Gleaming,0
0,0,0,0,0,0,0,0,0,0,0,0,7,2,6,2,0,4,0,0,0,0,0,0,8,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,130.0,9000000.0,16320000.0,7320000.0,MacArthur,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,96.0,4300000.0,300000000.0,295700000.0,Smokey and the Bandit,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0,350000.0,25000000.0,24650000.0,The Hills Have Eyes,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.0,,,,Mimino,0
2,0,1,0,0,0,2,0,1,0,0,0,9,3,14,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,1,102.0,14000000.0,30700000.0,16700000.0,Exorcist II: The Heretic,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,98.0,,,,The Car,0
0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,Grayeagle,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.0,,,,The Humpbacked Horse,0
0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.0,,,,Golden Rendezvous,0
0,1,0,0,0,0,0,0,0,0,0,0,1,2,3,0,1,0,0,0,1,0,0,0,4,2,5,3,1,0,0,3,0,0,1,0,0,0,0,0,0,0,1,124.0,9000000.0,47300000.0,38300000.0,The Deep,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.0,,,,Cinderella,0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,0,100.0,1900000.0,,,The Disappearance,0
2,7,2,0,0,0,0,0,0,0,0,0,6,10,6,1,5,0,3,1,1,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,121.0,3800000.0,23700000.0,19900000.0,Network,0
0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.0,1250000000000.0,,,Andy Warhol's Bad,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0,,,,Мъжки времена Mazhki vremena ( Manly Times ),0
1,0,1,0,0,0,1,0,1,0,0,0,4,3,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,1,124.0,,9300000.0,,Bobby Deerfield,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,,,,Halloween with the New Addams Family,0
2,0,1,0,0,0,2,0,1,0,0,0,3,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.0,4800000.0,21000000.0,16200000.0,The World's Greatest Lover,0
0,1,1,0,0,0,0,0,0,0,0,0,3,2,6,2,1,3,0,0,0,0,0,0,4,0,5,2,0,1,4,0,2,1,0,2,0,0,0,0,0,0,1,113.0,7000000.0,,,The Prince and the Pauper,0
2,6,7,1,1,2,0,0,0,0,0,0,3,6,16,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,135.0,,,,A Piece of the Action,0
1,0,2,0,0,1,1,0,0,1,0,0,1,2,3,0,0,3,0,0,0,0,0,0,4,2,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.0,6000000.0,,,The White Buffalo,0
